filters,kernel_size,dropout_rate,batch_size,lstm_units,tuner/epochs,tuner/initial_epoch,tuner/bracket,tuner/round,score,status,MBA,loss,val_MBA,val_loss,tuner/trial_id
set2,5,0.5,64,64,2,0,2,0,0.9535984992980957,COMPLETED,0.9500746726989746,0.21150384843349457,0.9535984992980957,0.17002126574516296,
set3,5,0.4,64,128,2,0,2,0,0.9534671306610107,COMPLETED,0.9530540704727173,0.19266998767852783,0.9534671306610107,0.15795990824699402,
set2,3,0.4,64,64,4,0,1,0,0.9566685557365417,COMPLETED,0.9571885466575623,0.12819819152355194,0.9566685557365417,0.126883402466774,
set3,3,0.5,64,64,2,0,2,0,0.95390784740448,COMPLETED,0.9495005011558533,0.21335531771183014,0.95390784740448,0.16795063018798828,
set1,3,0.5,64,64,2,0,2,0,0.9515340924263,COMPLETED,0.9477643370628357,0.21936194598674774,0.9515340924263,0.17980799078941345,
set3,3,0.4,64,64,10,0,0,0,0.9586408734321594,COMPLETED,0.9622679352760315,0.10538207739591599,0.9586408734321594,0.12057186663150787,
set2,5,0.5,64,128,10,0,0,0,0.9597154259681702,COMPLETED,0.9664260149002075,0.09424133598804474,0.9597154259681702,0.12025871127843857,
set2,5,0.5,64,64,4,2,2,1,0.9574458003044128,COMPLETED,0.9584168791770935,0.12201564759016037,0.9574458003044128,0.1243319883942604,0005
set3,5,0.4,64,64,2,0,2,0,0.9529850482940674,COMPLETED,0.9511508941650391,0.206495001912117,0.9529850482940674,0.16970707476139069,
set1,5,0.5,64,64,4,0,1,0,0.956144392490387,COMPLETED,0.9569168090820312,0.12866979837417603,0.956144392490387,0.12692944705486298,
set1,5,0.4,64,128,10,4,2,2,0.9598254561424255,COMPLETED,0.9668287038803101,0.09264163672924042,0.9598254561424255,0.12000145763158798,0012
set3,3,0.5,64,64,4,2,2,1,0.9570857286453247,COMPLETED,0.9578748941421509,0.12495270371437073,0.9570857286453247,0.12638700008392334,0010
set2,5,0.4,64,128,2,0,2,0,0.9535849094390869,COMPLETED,0.9516923427581787,0.20395371317863464,0.9535849094390869,0.16500364243984222,
set1,5,0.5,64,128,2,0,2,0,0.9522238373756409,COMPLETED,0.9504532814025879,0.20396918058395386,0.9522238373756409,0.1670888066291809,
set3,3,0.5,64,128,4,0,1,0,0.9579578638076782,COMPLETED,0.9585801362991333,0.12275977432727814,0.9579578638076782,0.12380310148000717,
set1,3,0.4,64,64,10,0,0,0,0.9590200781822205,COMPLETED,0.9629571437835693,0.10247664898633957,0.9590200781822205,0.11499616503715515,
set2,3,0.4,64,128,2,0,2,0,0.9538976550102234,COMPLETED,0.9507449269294739,0.2124186009168625,0.9538976550102234,0.16933618485927582,
set3,5,0.5,64,128,4,0,1,0,0.955522894859314,COMPLETED,0.9565727114677429,0.14133116602897644,0.955522894859314,0.13712181150913239,
set2,5,0.5,64,64,10,4,2,2,0.9597203731536865,COMPLETED,0.9656732678413391,0.09549286961555481,0.9597203731536865,0.1154070720076561,0015
set2,5,0.4,64,64,4,0,1,0,0.9548414349555969,COMPLETED,0.9557945132255554,0.14984244108200073,0.9548414349555969,0.14262324571609497,
set2,3,0.5,64,128,2,0,2,0,0.9518740177154541,COMPLETED,0.9499476552009583,0.20661136507987976,0.9518740177154541,0.16948877274990082,
set1,5,0.4,64,128,2,0,2,0,0.9542036056518555,COMPLETED,0.9506422877311707,0.20945903658866882,0.9542036056518555,0.16622383892536163,
set1,5,0.4,64,128,4,2,2,1,0.9574723839759827,COMPLETED,0.9586836695671082,0.12013378739356995,0.9574723839759827,0.12382907420396805,0007
set2,3,0.5,64,64,4,0,1,0,0.9563573002815247,COMPLETED,0.9564505815505981,0.1296137422323227,0.9563573002815247,0.12548395991325378,
set1,3,0.5,64,128,2,0,2,0,0.9523552060127258,COMPLETED,0.9493659734725952,0.2095746248960495,0.9523552060127258,0.17043524980545044,
set2,3,0.4,64,64,10,4,1,1,0.9598186016082764,COMPLETED,0.9647702574729919,0.0979442223906517,0.9598186016082764,0.11693400889635086,0021
set3,3,0.5,64,128,10,4,1,1,0.9607475996017456,COMPLETED,0.9655948877334595,0.0961175188422203,0.9607475996017456,0.11435647308826447,0018
set2,3,0.4,64,128,4,2,2,1,0.9571914672851562,COMPLETED,0.9582844376564026,0.12161286920309067,0.9571914672851562,0.12560220062732697,0009
set3,5,0.5,64,64,10,0,0,0,0.9593605995178223,COMPLETED,0.9636366963386536,0.1013747826218605,0.9593605995178223,0.11958613991737366,
set1,3,0.4,64,128,2,0,2,0,0.9528172016143799,COMPLETED,0.9502339363098145,0.21601895987987518,0.9528172016143799,0.17592939734458923,
